# Expected after m18.4 (proxy address guard). Same as after-m18.3 plus D3 and D4.
# Must differ from baseline: D3, D4. The guard's status code is m18.4's call; the flip away from http-502 is not.
R1	*
R2	*
A1	not-found
A2	not-found
A3	nxdomain
A4	nxdomain
A5	nxdomain
A6	nxdomain
A7	nxdomain
A8	answered
B1	rejected
B2	rejected
B3	rejected
B4	rejected
C1	rejected
C2	rejected
C3	rejected
C4	rejected
C5	rejected
D1	proxy-403
D2	http-200
D3	http-403
D4	http-403
E1	absent|present
E2	rejected|unreachable
E3	rejected|unreachable
E4	rejected|unreachable
E5	timeout|conn-refused|rejected
H1	not-seen
H2	*
H3	*
H4	*
H5	*
